ID,MDR,ID2
10625_1#1,0,CUH
10625_1#10,0,CUH
10625_1#11,0,CUH
10625_1#12,2,CUH
10625_1#13,2,CUH
10625_1#14,0,CUH
10625_1#15,1,CUH
10625_1#16,1,CUH
10625_1#17,0,CUH
10625_1#19,3,CUH
10625_1#2,0,CUH
10625_1#20,0,CUH
10625_1#21,0,CUH
10625_1#22,0,CUH
10625_1#23,1,CUH
10625_1#24,0,CUH
10625_1#25,0,CUH
10625_1#26,1,CUH
10625_1#27,4,CUH
10625_1#28,0,CUH
10625_1#3,0,CUH
10625_1#30,0,CUH
10625_1#31,1,CUH
10625_1#32,4,CUH
10625_1#33,1,CUH
10625_1#34,1,CUH
10625_1#35,0,CUH
10625_1#37,0,CUH
10625_1#38,1,CUH
10625_1#39,1,CUH
10625_1#4,0,CUH
10625_1#40,0,CUH
10625_1#41,1,CUH
10625_1#42,0,CUH
10625_1#43,1,CUH
10625_1#44,1,CUH
10625_1#45,0,CUH
10625_1#46,1,CUH
10625_1#47,1,CUH
10625_1#48,5,CUH
10625_1#49,0,CUH
10625_1#5,1,CUH
10625_1#50,0,CUH
10625_1#51,4,CUH
10625_1#52,2,CUH
10625_1#53,0,CUH
10625_1#54,0,CUH
10625_1#55,1,CUH
10625_1#56,0,CUH
10625_1#57,1,CUH
10625_1#58,0,CUH
10625_1#59,0,CUH
10625_1#6,1,CUH
10625_1#60,0,CUH
10625_1#61,1,CUH
10625_1#62,2,CUH
10625_1#63,0,CUH
10625_1#66,1,CUH
10625_1#67,1,CUH
10625_1#68,0,CUH
10625_1#69,0,CUH
10625_1#7,0,CUH
10625_1#70,0,CUH
10625_1#71,2,CUH
10625_1#72,1,CUH
10625_1#73,1,CUH
10625_1#74,0,CUH
10625_1#8,1,CUH
10625_1#9,1,CUH
10678_2#1,0,CUH
10678_2#10,4,CUH
10678_2#11,0,CUH
10678_2#12,2,CUH
10678_2#13,2,CUH
10678_2#14,0,CUH
10678_2#15,2,CUH
10678_2#16,0,CUH
10678_2#17,5,CUH
10678_2#18,0,CUH
10678_2#19,0,CUH
10678_2#2,0,CUH
10678_2#20,1,CUH
10678_2#21,1,CUH
10678_2#22,5,CUH
10678_2#23,0,CUH
10678_2#24,2,CUH
10678_2#25,1,CUH
10678_2#26,1,CUH
10678_2#27,1,CUH
10678_2#29,0,CUH
10678_2#3,0,CUH
10678_2#30,1,CUH
10678_2#31,5,CUH
10678_2#32,1,CUH
10678_2#33,2,CUH
10678_2#34,4,CUH
10678_2#35,2,CUH
10678_2#37,1,CUH
10678_2#38,1,CUH
10678_2#39,1,CUH
10678_2#4,2,CUH
10678_2#40,3,CUH
10678_2#41,0,CUH
10678_2#42,0,CUH
10678_2#43,0,CUH
10678_2#44,1,CUH
10678_2#45,0,CUH
10678_2#46,1,CUH
10678_2#47,0,CUH
10678_2#48,0,CUH
10678_2#49,0,CUH
10678_2#5,1,CUH
10678_2#50,1,CUH
10678_2#51,1,CUH
10678_2#52,0,CUH
10678_2#53,3,CUH
10678_2#54,0,CUH
10678_2#55,3,CUH
10678_2#56,0,CUH
10678_2#57,3,CUH
10678_2#58,1,CUH
10678_2#59,1,CUH
10678_2#6,0,CUH
10678_2#60,0,CUH
10678_2#61,0,CUH
10678_2#62,0,CUH
10678_2#63,0,CUH
10678_2#64,5,CUH
10678_2#65,0,CUH
10678_2#66,0,CUH
10678_2#67,4,CUH
10678_2#68,0,CUH
10678_2#69,1,CUH
10678_2#7,4,CUH
10678_2#70,0,CUH
10678_2#71,4,CUH
10678_2#72,4,CUH
10678_2#74,3,CUH
10678_2#75,0,CUH
10678_2#8,3,CUH
10678_2#9,3,CUH
10678_4#1,0,CUH
10678_4#11,0,CUH
10678_4#12,1,CUH
10678_4#13,0,CUH
10678_4#14,0,CUH
10678_4#15,0,CUH
10678_4#16,3,CUH
10678_4#17,2,CUH
10678_4#18,0,CUH
10678_4#19,0,CUH
10678_4#2,2,CUH
10678_4#20,0,CUH
10678_4#21,0,CUH
10678_4#22,1,CUH
10678_4#23,1,CUH
10678_4#24,3,CUH
10678_4#25,2,CUH
10678_4#26,1,CUH
10678_4#27,0,CUH
10678_4#28,0,CUH
10678_4#29,1,CUH
10678_4#3,2,CUH
10678_4#30,1,CUH
10678_4#31,1,CUH
10678_4#32,1,CUH
10678_4#33,2,CUH
10678_4#34,2,CUH
10678_4#35,2,CUH
10678_4#36,0,CUH
10678_4#37,1,CUH
10678_4#38,0,CUH
10678_4#39,0,CUH
10678_4#4,1,CUH
10678_4#40,0,CUH
10678_4#41,3,CUH
10678_4#42,0,CUH
10678_4#43,1,CUH
10678_4#44,0,CUH
10678_4#45,0,CUH
10678_4#46,1,CUH
10678_4#47,0,CUH
10678_4#49,1,CUH
10678_4#5,1,CUH
10678_4#50,0,CUH
10678_4#51,0,CUH
10678_4#52,0,CUH
10678_4#53,0,CUH
10678_4#54,0,CUH
10678_4#55,1,CUH
10678_4#56,0,CUH
10678_4#58,1,CUH
10678_4#59,4,CUH
10678_4#6,0,CUH
10678_4#60,0,CUH
10678_4#61,0,CUH
10678_4#62,0,CUH
10678_4#63,2,CUH
10678_4#64,0,CUH
10678_4#65,0,CUH
10678_4#66,1,CUH
10678_4#67,1,CUH
10678_4#68,1,CUH
10678_4#69,0,CUH
10678_4#7,0,CUH
10678_4#70,1,CUH
10678_4#71,0,CUH
10678_4#72,0,CUH
10678_4#73,3,CUH
10678_4#74,3,CUH
10678_4#75,5,CUH
10678_4#8,0,CUH
10678_4#9,2,CUH
10812_1#1,5,BSAC
10812_1#10,3,BSAC
10812_1#11,5,BSAC
10812_1#12,6,BSAC
10812_1#13,6,BSAC
10812_1#14,6,BSAC
10812_1#15,5,BSAC
10812_1#16,4,BSAC
10812_1#17,5,BSAC
10812_1#18,5,BSAC
10812_1#19,5,BSAC
10812_1#2,4,BSAC
10812_1#20,5,BSAC
10812_1#21,5,BSAC
10812_1#22,5,BSAC
10812_1#23,6,BSAC
10812_1#24,5,BSAC
10812_1#25,4,BSAC
10812_1#26,3,BSAC
10812_1#27,4,BSAC
10812_1#28,4,BSAC
10812_1#29,5,BSAC
10812_1#3,6,BSAC
10812_1#30,5,BSAC
10812_1#31,5,BSAC
10812_1#32,5,BSAC
10812_1#33,4,BSAC
10812_1#34,5,BSAC
10812_1#35,3,BSAC
10812_1#37,3,BSAC
10812_1#38,5,BSAC
10812_1#39,4,BSAC
10812_1#4,5,BSAC
10812_1#40,4,BSAC
10812_1#41,5,BSAC
10812_1#42,4,BSAC
10812_1#43,1,BSAC
10812_1#44,4,BSAC
10812_1#45,6,BSAC
10812_1#46,4,BSAC
10812_1#47,4,BSAC
10812_1#48,6,BSAC
10812_1#49,4,BSAC
10812_1#50,5,BSAC
10812_1#51,4,BSAC
10812_1#52,6,BSAC
10812_1#53,4,BSAC
10812_1#54,3,BSAC
10812_1#55,4,BSAC
10812_1#56,5,BSAC
10812_1#57,3,BSAC
10812_1#58,4,BSAC
10812_1#59,5,BSAC
10812_1#6,4,BSAC
10812_1#60,5,BSAC
10812_1#61,4,BSAC
10812_1#62,5,BSAC
10812_1#63,4,BSAC
10812_1#64,5,BSAC
10812_1#65,5,BSAC
10812_1#66,4,BSAC
10812_1#67,4,BSAC
10812_1#68,4,BSAC
10812_1#7,5,BSAC
10812_1#70,1,BSAC
10812_1#71,5,BSAC
10812_1#73,3,BSAC
10812_1#74,6,BSAC
10812_1#75,2,BSAC
10812_1#76,6,BSAC
10812_1#77,0,BSAC
10812_1#78,6,BSAC
10812_1#79,0,BSAC
10812_1#8,6,BSAC
10812_1#80,4,BSAC
10812_1#81,4,BSAC
10812_1#82,3,BSAC
10812_1#83,1,BSAC
10812_1#9,5,BSAC
