Isolate,ST
10625_1#11,365
10625_1#10,395
10625_1#13,252
10625_1#12,2105
10625_1#16,253
10625_1#14,274
10625_1#15,2617
10625_1#17,167
10625_1#1,164
10625_1#21,17
10625_1#19,815
10625_1#20,155
10625_1#23,1223
10625_1#22,381
10625_1#25,395
10625_1#24,155
10625_1#26,309
10625_1#28,2483
10625_1#27,207
10625_1#2,560
10625_1#30,253
10625_1#33,274
10625_1#31,309
10625_1#32,235
10625_1#34,308
10625_1#37,253
10625_1#35,155
10625_1#38,2641
10625_1#39,252
10625_1#3,257
10625_1#40,2472
10625_1#41,395
10625_1#42,308
10625_1#43,485
10625_1#44,207
10625_1#45,253
10625_1#46,1858
10625_1#47,207
10625_1#49,2619
10625_1#48,308
10625_1#50,253
10625_1#4,277
10625_1#51,308
10625_1#52,244
10625_1#53,447
10625_1#54,319
10625_1#55,498
10625_1#56,455
10625_1#57,234
10625_1#58,253
10625_1#5,701
10625_1#59,830
10625_1#60,273
10625_1#61,2044
10625_1#63,244
10625_1#62,308
10625_1#66,319
10625_1#67,253
10625_1#69,2100
10625_1#68,395
10625_1#6,170
10625_1#71,319
10625_1#70,699
10625_1#72,2616
10625_1#73,175
10625_1#7,253
10625_1#8,508
10625_1#74,395
10625_1#9,254
10678_2#10,395
10678_2#11,395
10678_2#12,207
10678_2#13,408
10678_2#14,253
10678_2#15,253
10678_2#16,1320
10678_2#17,395
10678_2#19,560
10678_2#18,244
10678_2#1,207
10678_2#20,977
10678_2#21,395
10678_2#22,560
10678_2#23,446
10678_2#24,556
10678_2#25,557
10678_2#26,1086
10678_2#27,309
10678_2#29,360
10678_2#30,395
10678_2#31,395
10678_2#2,485
10678_2#32,309
10678_2#33,260
10678_2#35,2648
10678_2#34,395
10678_2#37,395
10678_2#38,859
10678_2#3,2638
10678_2#39,348
10678_2#40,395
10678_2#43,137
10678_2#44,252
10678_2#45,1641
10678_2#42,253
10678_2#41,253
10678_2#46,2639
10678_2#47,1068
10678_2#48,1248
10678_2#49,27
10678_2#4,260
10678_2#50,244
10678_2#51,1248
10678_2#52,205
10678_2#53,309
10678_2#54,253
10678_2#55,1020
10678_2#57,2640
10678_2#56,179
10678_2#58,244
10678_2#59,395
10678_2#5,2469
10678_2#60,395
10678_2#61,253
10678_2#62,253
10678_2#63,1641
10678_2#64,146
10678_2#65,308
10678_2#66,267
10678_2#67,1027
10678_2#68,245
10678_2#69,253
10678_2#6,487
10678_2#70,664
10678_2#71,395
10678_2#72,389
10678_2#74,348
10678_2#75,667
10678_2#7,395
10678_2#8,207
10678_2#9,244
10678_4#11,253
10678_4#12,253
10678_4#13,591
10678_4#15,179
10678_4#14,27
10678_4#16,319
10678_4#17,2544
10678_4#18,560
10678_4#19,532
10678_4#1,2458
10678_4#20,254
10678_4#21,2641
10678_4#22,207
10678_4#23,395
10678_4#25,532
10678_4#24,155
10678_4#26,845
10678_4#27,179
10678_4#28,319
10678_4#2,17
10678_4#29,2012
10678_4#30,646
10678_4#31,348
10678_4#33,260
10678_4#32,252
10678_4#34,395
10678_4#37,298
10678_4#35,633
10678_4#36,253
10678_4#38,17
10678_4#39,313
10678_4#3,260
10678_4#40,253
10678_4#41,395
10678_4#42,2642
10678_4#43,244
10678_4#44,1053
10678_4#45,348
10678_4#46,446
10678_4#47,155
10678_4#49,395
10678_4#4,291
10678_4#51,1203
10678_4#50,860
10678_4#52,1211
10678_4#53,381
10678_4#54,27
10678_4#55,17
10678_4#56,270
10678_4#58,245
10678_4#59,395
10678_4#5,253
10678_4#60,2643
10678_4#61,379
10678_4#62,108
10678_4#63,348
10678_4#64,253
10678_4#65,17
10678_4#66,2123
10678_4#67,252
10678_4#68,1207
10678_4#69,1247
10678_4#6,308
10678_4#70,274
10678_4#71,207
10678_4#72,395
10678_4#73,1248
10678_4#74,253
10678_4#75,348
10678_4#7,348
10678_4#8,664
10678_4#9,110
10812_1#10,235
10812_1#11,175
10812_1#12,357
10812_1#13,357
10812_1#14,357
10812_1#15,357
10812_1#16,175
10812_1#17,179
10812_1#18,175
10812_1#19,175
10812_1#20,175
10812_1#1,2613
10812_1#21,27
10812_1#22,446
10812_1#23,316
10812_1#24,175
10812_1#25,175
10812_1#27,175
10812_1#26,175
10812_1#28,175
10812_1#29,235
10812_1#2,348
10812_1#30,27
10812_1#31,253
10812_1#32,698
10812_1#33,111
10812_1#34,235
10812_1#35,274
10812_1#37,175
10812_1#38,1232
10812_1#39,235
10812_1#3,357
10812_1#40,244
10812_1#42,554
10812_1#41,175
10812_1#43,633
10812_1#44,598
10812_1#45,298
10812_1#46,357
10812_1#47,175
10812_1#48,175
10812_1#49,446
10812_1#4,977
10812_1#50,1149
10812_1#51,357
10812_1#53,254
10812_1#52,175
10812_1#54,244
10812_1#55,589
10812_1#56,175
10812_1#57,252
10812_1#59,245
10812_1#58,395
10812_1#61,242
10812_1#60,235
10812_1#62,175
10812_1#63,560
10812_1#64,231
10812_1#65,358
10812_1#66,179
10812_1#67,2644
10812_1#68,17
10812_1#6,527
10812_1#71,217
10812_1#70,672
10812_1#74,217
10812_1#73,217
10812_1#75,217
10812_1#76,111
10812_1#77,1753
10812_1#78,175
10812_1#79,532
10812_1#7,175
10812_1#81,446
10812_1#80,175
10812_1#82,357
10812_1#83,179
10812_1#9,316
10812_1#8,175
